Name,Save 1,Save 2,Save 3,Save 4,Save 5,Save 6
WarplockJezzails,1.2098765432098766,1.8148148148148153,2.419753086419753,3.0246913580246915,3.6296296296296298,3.6296296296296298
WarplockJezzailsAlloutAttack,1.5555555555555556,2.3333333333333335,3.111111111111111,3.888888888888889,4.666666666666667,4.666666666666667
WarplockJezzailsWarpCog,1.4355281207133057,2.0980795610425234,2.7606310013717414,3.9753086419753085,3.9753086419753085,3.9753086419753085
WarplockJezzailsFilfthCrust4,1.2098765432098766,1.8148148148148153,2.419753086419753,3.0246913580246915,3.6296296296296298,3.6296296296296298
WarplockJezzailsAlloutAttackWarpCog,1.872427983539094,2.7366255144032916,3.6008230452674885,5.185185185185184,5.185185185185184,5.185185185185184
WarplockJezzailsAlloutAttackFilfthCrust4,1.5555555555555556,2.3333333333333335,3.111111111111111,3.888888888888889,4.666666666666667,4.666666666666667
WarplockJezzailsWarpCogFilfthCrust4,1.4355281207133057,2.0980795610425234,2.7606310013717414,3.9753086419753085,3.9753086419753085,3.9753086419753085
WarplockJezzailsAlloutAttackWarpCogFilfthCrust4,1.872427983539094,2.7366255144032916,3.6008230452674885,5.185185185185184,5.185185185185184,5.185185185185184
WarplockJezzails,1.2098765432098766,1.8148148148148153,2.419753086419753,3.0246913580246915,3.6296296296296298,3.6296296296296298
WarplockJezzailsAlloutAttack,1.5555555555555556,2.3333333333333335,3.111111111111111,3.888888888888889,4.666666666666667,4.666666666666667
WarplockJezzailsWarpCog,1.4355281207133057,2.0980795610425234,2.7606310013717414,3.9753086419753085,3.9753086419753085,3.9753086419753085
WarplockJezzailsFilfthCrust4,1.2098765432098766,1.8148148148148153,2.419753086419753,3.0246913580246915,3.6296296296296298,3.6296296296296298
WarplockJezzailsAlloutAttackWarpCog,1.872427983539094,2.7366255144032916,3.6008230452674885,5.185185185185184,5.185185185185184,5.185185185185184
WarplockJezzailsAlloutAttackFilfthCrust4,1.5555555555555556,2.3333333333333335,3.111111111111111,3.888888888888889,4.666666666666667,4.666666666666667
WarplockJezzailsWarpCogFilfthCrust4,1.4355281207133057,2.0980795610425234,2.7606310013717414,3.9753086419753085,3.9753086419753085,3.9753086419753085
WarplockJezzailsAlloutAttackWarpCogFilfthCrust4,1.872427983539094,2.7366255144032916,3.6008230452674885,5.185185185185184,5.185185185185184,5.185185185185184
WarplockJezzails,1.2098765432098766,1.8148148148148153,2.419753086419753,3.0246913580246915,3.6296296296296298,3.6296296296296298
WarplockJezzailsAlloutAttack,1.5555555555555556,2.3333333333333335,3.111111111111111,3.888888888888889,4.666666666666667,4.666666666666667
WarplockJezzailsWarpCog,1.4355281207133057,2.0980795610425234,2.7606310013717414,3.9753086419753085,3.9753086419753085,3.9753086419753085
WarplockJezzailsFilfthCrust4,1.2098765432098766,1.8148148148148153,2.419753086419753,3.0246913580246915,3.6296296296296298,3.6296296296296298
WarplockJezzailsAlloutAttackWarpCog,1.872427983539094,2.7366255144032916,3.6008230452674885,5.185185185185184,5.185185185185184,5.185185185185184
WarplockJezzailsAlloutAttackFilfthCrust4,1.5555555555555556,2.3333333333333335,3.111111111111111,3.888888888888889,4.666666666666667,4.666666666666667
WarplockJezzailsWarpCogFilfthCrust4,1.4355281207133057,2.0980795610425234,2.7606310013717414,3.9753086419753085,3.9753086419753085,3.9753086419753085
WarplockJezzailsAlloutAttackWarpCogFilfthCrust4,1.872427983539094,2.7366255144032916,3.6008230452674885,5.185185185185184,5.185185185185184,5.185185185185184
